StationID,AverageDur,NumberTrips,lat,long
3000,16.75,4,39.915909,-75.18370100
3005,22.07,728,39.947330,-75.14402800
3006,14.11,1416,39.952202,-75.20311000
3007,10.36,2319,39.945171,-75.15992700
3008,11.14,553,39.980808,-75.15067300
3009,13.51,1335,39.955761,-75.18981900
3010,13.75,3403,39.947109,-75.16618300
3012,11.42,2072,39.942181,-75.17746700
3014,12.61,459,39.958858,-75.17369100
3015,12.28,663,39.947350,-75.14885700
3016,14.68,220,39.968922,-75.15470100
3017,21.11,746,39.980030,-75.14370700
3018,22.83,1392,39.952728,-75.15979000
3019,19.32,480,39.954029,-75.14983400
3020,12.86,2062,39.948551,-75.19007100
3021,14.72,1471,39.953899,-75.16902200
3022,18.04,2205,39.954720,-75.18322800
3024,23.04,641,39.948219,-75.20908400
3025,15.50,811,39.937241,-75.16120100
3026,16.79,1579,39.941818,-75.14550000
3028,14.50,2068,39.940609,-75.14958200
3029,15.34,1569,39.953800,-75.19479400
3030,13.86,1374,39.939350,-75.15715800
3031,18.05,568,39.980049,-75.15522000
3032,12.40,2617,39.945271,-75.17971000
3033,11.96,1147,39.950050,-75.15672300
3034,12.87,1189,39.933151,-75.16248300
3035,12.13,1307,39.962711,-75.19419100
3037,16.73,930,39.954239,-75.16137700
3038,12.01,1829,39.947811,-75.19409200
3039,13.61,798,39.971569,-75.15992700
3040,13.43,1488,39.962891,-75.16606100
3041,18.62,1014,39.968491,-75.13546000
3043,13.90,1470,39.930820,-75.17474400
3046,18.37,2028,39.950119,-75.14472200
3047,21.71,1119,39.950729,-75.14946700
3049,29.56,1154,39.945091,-75.14250200
3050,16.88,758,39.953388,-75.15425900
3051,15.12,1423,39.967442,-75.17507200
3052,12.22,2095,39.947319,-75.15695200
3053,18.97,1377,39.932308,-75.18154100
3054,13.95,2214,39.962502,-75.17420200
3055,19.80,1326,39.951118,-75.15457200
3056,23.12,525,39.976688,-75.15812700
3057,32.07,1715,39.964390,-75.17987100
3058,14.01,1829,39.967159,-75.17001300
3059,12.03,1720,39.962440,-75.16120900
3060,14.94,361,39.959229,-75.17035700
3061,13.98,1397,39.954250,-75.17761200
3062,11.61,597,39.951969,-75.17942800
3063,10.45,1799,39.946331,-75.16980000
3064,12.86,1438,39.938400,-75.17327100
3065,13.27,517,39.970699,-75.15171100
3066,12.49,1934,39.945610,-75.17347700
3067,15.01,543,39.964111,-75.19973000
3068,12.91,1086,39.935490,-75.16710700
3069,11.28,986,39.937038,-75.15038300
3070,15.74,451,39.960621,-75.13983200
3071,12.07,998,39.961731,-75.18788100
3072,15.54,701,39.934448,-75.14540900
3073,12.40,689,39.961430,-75.15242000
3074,14.74,955,39.955109,-75.20986900
3075,11.76,1257,39.967178,-75.16124700
3077,13.80,545,39.972069,-75.16351300
3078,13.77,1339,39.953548,-75.17192100
3086,11.25,755,39.940189,-75.16690800
3088,16.34,950,39.969841,-75.14180000
3093,32.93,184,39.988369,-75.18701200
3096,29.10,41,39.991192,-75.17974900
3097,24.48,671,39.978882,-75.13339200
3098,14.63,867,39.934311,-75.16042300
